"","s1"
"1461",11.6881942701515
"1462",11.9709924857142
"1463",12.1456159251517
"1464",12.2031372636098
"1465",12.261850790352
"1466",12.0672101919454
"1467",12.0869452299678
"1468",12.0550120872183
"1469",12.061928541295
"1470",11.7056255393695
"1471",12.1444745402723
"1472",11.5147519457467
"1473",11.5294627418076
"1474",11.8814113207553
"1475",11.5875352488458
"1476",12.7236502113645
"1477",12.4995153949123
"1478",12.5456628485975
"1479",12.6170659171857
"1480",13.0316828306514
"1481",12.6950914017882
"1482",12.3159680016298
"1483",12.1028526770744
"1484",12.0098895714347
"1485",12.1726237958539
"1486",12.196766195404
"1487",12.7964178385035
"1488",12.3982747037271
"1489",12.1819929137538
"1490",12.3685529180484
"1491",12.1848274543334
"1492",11.4213155418969
"1493",12.130940147989
"1494",12.6569869419767
"1495",12.590196220359
"1496",12.3098648393854
"1497",12.0600180611446
"1498",12.0328045765473
"1499",11.9906112636455
"1500",12.0041704320566
"1501",12.0874373264384
"1502",11.9462974611358
"1503",12.587624700377
"1504",12.4664587331888
"1505",12.3311289974035
"1506",12.1313122849652
"1507",12.3980200901682
"1508",12.2001598647257
"1509",11.9381115300827
"1510",11.9491497697913
"1511",11.9943532468425
"1512",12.0821166025682
"1513",11.8824793770304
"1514",12.048648030296
"1515",12.177719071573
"1516",11.8780460071886
"1517",11.9585086039796
"1518",11.8231416949448
"1519",12.2525462245821
"1520",11.8291652365476
"1521",11.8194113387036
"1522",12.0903586495511
"1523",11.6332357052624
"1524",11.6720497215864
"1525",11.7128428557429
"1526",11.670388423478
"1527",11.5649006767382
"1528",11.7670885700139
"1529",11.9541152811769
"1530",12.0997366689106
"1531",11.7373144949187
"1532",11.4814781506806
"1533",11.9130966434563
"1534",11.6985215917702
"1535",11.8899495333325
"1536",11.626687356878
"1537",11.2256650687832
"1538",11.9581191025297
"1539",12.184558660064
"1540",11.3931201497878
"1541",11.7920728278075
"1542",11.8378337879626
"1543",12.0126737435351
"1544",11.3288617563394
"1545",11.6381578751148
"1546",11.882771622142
"1547",11.799006225377
"1548",11.7388675083189
"1549",11.7552184571792
"1550",11.9075338066721
"1551",11.5948125772974
"1552",11.8435375308283
"1553",11.9012172345496
"1554",11.7300264633281
"1555",12.0503779831943
"1556",11.5123569486094
"1557",11.5077875143362
"1558",11.5905322926461
"1559",11.4540213073379
"1560",11.8805745974447
"1561",11.6140779513377
"1562",11.8266920586277
"1563",11.7429333901639
"1564",12.0285290061789
"1565",11.9806148435185
"1566",12.3271778185639
"1567",11.2019209108276
"1568",12.4448815929557
"1569",11.7642507773942
"1570",11.8191598497036
"1571",11.6930791343374
"1572",11.810955840567
"1573",12.3312218792179
"1574",11.729570978112
"1575",12.2832906097435
"1576",12.4811073169551
"1577",12.0717595229219
"1578",11.8479924077013
"1579",11.9455633025963
"1580",12.164768091555
"1581",12.0179715338582
"1582",11.7400844576778
"1583",12.6676950812256
"1584",12.3343106226542
"1585",11.8669080487172
"1586",11.2198320157818
"1587",11.6797055355242
"1588",11.847572851611
"1589",11.5434009260889
"1590",11.7873492047344
"1591",11.5283479861451
"1592",11.6806541633302
"1593",11.685345335036
"1594",11.6852088315199
"1595",11.6763346119436
"1596",12.2654119305813
"1597",12.195273545573
"1598",12.235407586457
"1599",12.037269258363
"1600",12.075810256512
"1601",11.1945520187229
"1602",11.6804562184541
"1603",11.1876924591219
"1604",12.5230694460493
"1605",12.4267206319949
"1606",12.0460099440156
"1607",12.1489654519951
"1608",12.2783033052897
"1609",12.1314618998924
"1610",12.0278285317384
"1611",11.9136016254394
"1612",12.0712534294054
"1613",12.1088600884436
"1614",11.6780830297709
"1615",11.3846031531072
"1616",11.3000406938984
"1617",11.4246076401947
"1618",11.7957165407619
"1619",11.8515598239162
"1620",12.0013990825813
"1621",11.8841842863134
"1622",11.8955635464848
"1623",12.502576368051
"1624",12.3040284334926
"1625",11.6731450601246
"1626",12.0486719123063
"1627",12.1768626537322
"1628",12.4658504760755
"1629",12.0552629005968
"1630",12.7459208334467
"1631",12.3366266954038
"1632",12.4412596374251
"1633",12.093581693853
"1634",12.1587203430633
"1635",12.0861608077409
"1636",11.9668058023458
"1637",12.1991662270877
"1638",12.136201428409
"1639",12.1117624270477
"1640",12.2669966516115
"1641",12.1224849388726
"1642",12.369972238572
"1643",12.3806452095822
"1644",12.3842079369136
"1645",12.2996550307563
"1646",11.9920671058108
"1647",11.9369446611887
"1648",11.8120982160687
"1649",11.8181302782357
"1650",11.6572245455473
"1651",11.7206099254469
"1652",11.5077111092855
"1653",11.5092489245862
"1654",11.8868141744085
"1655",11.764698754085
"1656",11.8563289165134
"1657",11.920683289419
"1658",11.9311308736128
"1659",11.656822849514
"1660",12.016097904582
"1661",12.9401318174658
"1662",12.773847550874
"1663",12.709933241274
"1664",13.1994767829261
"1665",12.5491639631699
"1666",12.6797831903736
"1667",12.6800537906624
"1668",12.6561414488535
"1669",12.5417969436758
"1670",12.6706263442955
"1671",12.5346051138985
"1672",12.9011947142623
"1673",12.6604706371664
"1674",12.4789903450047
"1675",12.2479016734977
"1676",12.2471927805513
"1677",12.298135217638
"1678",12.9518509389388
"1679",12.8066934712968
"1680",12.5898561288105
"1681",12.3628850886725
"1682",12.6482048779416
"1683",12.2051219195257
"1684",12.1140919715553
"1685",12.1300646546289
"1686",12.0218135960419
"1687",12.0510731318106
"1688",12.1630886493732
"1689",12.1916988414227
"1690",12.2085041356709
"1691",12.1676004696073
"1692",12.444368503975
"1693",12.0528312545527
"1694",12.1351701812966
"1695",12.0346280824862
"1696",12.5376618874354
"1697",12.0445192669875
"1698",12.7673511038888
"1699",12.6866600392845
"1700",12.4465146162142
"1701",12.5157826733967
"1702",12.3924251106258
"1703",12.4184472060309
"1704",12.5057930693517
"1705",12.3595517721092
"1706",12.3943808889503
"1707",12.211945846586
"1708",12.2319657804457
"1709",12.4467425574274
"1710",12.3015605565514
"1711",12.5201142934378
"1712",12.4790009068974
"1713",12.4607569801833
"1714",12.2543234116162
"1715",12.2399315545843
"1716",12.0780383469198
"1717",12.0793449422823
"1718",11.8489359788488
"1719",12.2153379140628
"1720",12.3754820066102
"1721",11.9652702162348
"1722",11.7531359184982
"1723",11.9734730028423
"1724",12.2276347064862
"1725",12.3808684937057
"1726",12.1376916392966
"1727",12.0272951880282
"1728",12.0226900984192
"1729",11.995735553608
"1730",11.8654143342721
"1731",11.7822946477109
"1732",11.7663045108082
"1733",11.6667909908093
"1734",11.7488679247755
"1735",11.7217191665161
"1736",11.6067891072347
"1737",12.6219154630778
"1738",12.3908832960582
"1739",12.2957711492711
"1740",12.3176861485221
"1741",12.1689822924906
"1742",12.0487181969009
"1743",12.0881701191424
"1744",12.5301229135925
"1745",12.214226140771
"1746",12.2182684846405
"1747",12.229188525903
"1748",12.3218623246592
"1749",11.898510008935
"1750",11.6842560796508
"1751",12.3606143653441
"1752",11.6691092355002
"1753",11.9553792261042
"1754",12.1311256971033
"1755",11.9850717026089
"1756",11.7760415507756
"1757",11.6913139115361
"1758",11.9051402832189
"1759",12.0001984677337
"1760",12.0442925598022
"1761",11.9858301800178
"1762",12.0624629947478
"1763",12.058306935389
"1764",11.702118668521
"1765",11.7613848179549
"1766",12.1727883171932
"1767",12.2827426076587
"1768",11.8369028228797
"1769",11.9490835912501
"1770",11.9581441060873
"1771",11.744717607086
"1772",11.8728295006152
"1773",11.7395473147412
"1774",11.9048756287673
"1775",11.8373095636067
"1776",11.8241347463363
"1777",11.5633372653343
"1778",11.881854392498
"1779",11.7677763745029
"1780",11.9351121268844
"1781",11.7308272749259
"1782",11.4975177767868
"1783",11.962330720276
"1784",11.6701324540133
"1785",11.6330055356314
"1786",11.8898649466022
"1787",12.0001113030227
"1788",11.1366430387368
"1789",11.4483703254881
"1790",11.4676254334866
"1791",12.1186624021269
"1792",11.8723120759055
"1793",11.7141943174281
"1794",11.9205830617412
"1795",11.7743703099993
"1796",11.7734616834533
"1797",11.6865518725393
"1798",11.7515058499999
"1799",11.6265573625158
"1800",11.8108528414475
"1801",11.7289355408826
"1802",11.7648827307482
"1803",11.909717677749
"1804",11.8524051234176
"1805",11.8072570075208
"1806",11.7201138270145
"1807",11.7774721671098
"1808",11.7500713163757
"1809",11.7775772567802
"1810",11.8592055232254
"1811",11.4109027410688
"1812",11.506389090724
"1813",11.6743935418711
"1814",11.443510494383
"1815",11.0693943481459
"1816",11.4502928949282
"1817",11.7133533499112
"1818",11.8577738429389
"1819",11.7530118721599
"1820",11.2155853412369
"1821",11.5807710368234
"1822",11.9670791000623
"1823",11.0187010582098
"1824",11.7112745327861
"1825",11.8906666959832
"1826",11.629993869719
"1827",11.5946071979605
"1828",11.8582749353664
"1829",11.7975520447432
"1830",11.9210102622748
"1831",11.7564179889468
"1832",11.2259503756826
"1833",11.8354235783621
"1834",11.7787551101588
"1835",11.5587435472705
"1836",11.6067610872377
"1837",11.4300826928856
"1838",11.6827932933553
"1839",11.5423717852459
"1840",11.859324516721
"1841",11.8086968369725
"1842",11.5064353019016
"1843",11.8051360056455
"1844",11.8597853950587
"1845",11.9501564221567
"1846",11.9384485504683
"1847",12.1193944574754
"1848",11.0648283404103
"1849",11.6352081124511
"1850",11.7100992119214
"1851",11.8506176030122
"1852",11.7651767009471
"1853",11.7974426058805
"1854",11.9370032491697
"1855",11.9505177651138
"1856",12.3227954780196
"1857",11.9004138754495
"1858",11.8088358758111
"1859",11.7331249169114
"1860",11.9561717783905
"1861",11.7293911286396
"1862",12.6270234537167
"1863",12.5552439552407
"1864",12.5553005289436
"1865",12.5605413100865
"1866",12.5072856240961
"1867",12.3477177166865
"1868",12.5352061888883
"1869",12.2055231960398
"1870",12.3137420993961
"1871",12.3574163205614
"1872",12.1419260792778
"1873",12.4386299851231
"1874",11.9031985073024
"1875",12.1308538993562
"1876",12.212562171375
"1877",12.2303705869814
"1878",12.1598786839923
"1879",11.8016830983185
"1880",11.7974950321118
"1881",12.3978811774703
"1882",12.4127356180242
"1883",12.126772742985
"1884",12.2117439437254
"1885",12.2440015777461
"1886",12.467578036215
"1887",12.256167094563
"1888",12.4932163078996
"1889",12.1236798651986
"1890",11.6346821627615
"1891",11.7293202490646
"1892",11.5708478734139
"1893",11.7381856489342
"1894",11.783419602463
"1895",11.8154986520791
"1896",11.7518815201988
"1897",11.7412613481758
"1898",11.7219964685709
"1899",11.9305940456462
"1900",11.9272452074513
"1901",12.0798092999721
"1902",11.9536792808856
"1903",12.2769255864545
"1904",11.8354112766802
"1905",12.1610330977306
"1906",11.633125890896
"1907",12.3269194988949
"1908",11.6592770190726
"1909",11.8136019352912
"1910",11.7134837667448
"1911",12.300091742645
"1912",12.4889093756818
"1913",11.9526931432133
"1914",11.1413391272547
"1915",12.5898397397901
"1916",10.9475046947064
"1917",12.4384356624641
"1918",11.8607165732744
"1919",12.0368205036089
"1920",11.9693418599288
"1921",12.6849175738872
"1922",12.5239699103467
"1923",12.3333030565814
"1924",12.33175678321
"1925",12.2379852080137
"1926",12.6984612753391
"1927",11.7558167544102
"1928",12.0756878626076
"1929",11.6646898765163
"1930",11.7987606308233
"1931",11.8501594626547
"1932",11.8364551248901
"1933",12.0919147954314
"1934",12.1391317555789
"1935",12.0700109836937
"1936",12.1243801022566
"1937",12.1354105812521
"1938",12.1137730459129
"1939",12.4249996103291
"1940",12.2420965952856
"1941",12.0457167426602
"1942",12.0471843970465
"1943",12.3225246183089
"1944",12.7338923705418
"1945",12.744219115867
"1946",11.822850710728
"1947",12.1177770168758
"1948",12.0429923686997
"1949",12.2885492051924
"1950",12.0558119549367
"1951",12.4362654237885
"1952",12.278899023846
"1953",12.1113363731202
"1954",12.0259785014796
"1955",11.870454603638
"1956",12.61121602875
"1957",11.9737074721486
"1958",12.5842905174589
"1959",11.9109591688382
"1960",11.54799573229
"1961",11.7729393394216
"1962",11.5061786428699
"1963",11.5644875615893
"1964",11.6041507046621
"1965",11.8571581268986
"1966",11.7490713195822
"1967",12.626204797722
"1968",12.8826019991394
"1969",12.7063106326476
"1970",12.8153414118137
"1971",12.9604790268575
"1972",12.7810110458811
"1973",12.5783900748527
"1974",12.7110483108211
"1975",12.966747624283
"1976",12.5836075140492
"1977",12.7492149162754
"1978",12.7389788073862
"1979",12.6117045963344
"1980",12.133977080773
"1981",12.6544773342741
"1982",12.3767114736637
"1983",12.3098732536504
"1984",12.0649272714499
"1985",12.2785156417214
"1986",12.2775195053151
"1987",12.0996941375725
"1988",12.1617640395847
"1989",12.1920352190737
"1990",12.2579348292677
"1991",12.3399820832765
"1992",12.2301870492755
"1993",12.0887024169371
"1994",12.2754263343585
"1995",12.1135602525614
"1996",12.516406744229
"1997",12.6048237301918
