"","x"
"1461",11.6154571459526
"1462",11.9392835456371
"1463",12.1559518415103
"1464",12.1895530729459
"1465",12.2869062848107
"1466",12.0841797378402
"1467",12.0991629498682
"1468",12.0392035105145
"1469",12.1061936335439
"1470",11.7089599947447
"1471",12.1671220551348
"1472",11.5127206843352
"1473",11.5375447725002
"1474",11.912318525167
"1475",11.5905458116896
"1476",12.7349382568197
"1477",12.5251995567483
"1478",12.5314073457516
"1479",12.5983002488236
"1480",12.9846731149456
"1481",12.7429122056534
"1482",12.3460740576255
"1483",12.093156770613
"1484",11.9794684309565
"1485",12.1593822043921
"1486",12.2025281852804
"1487",12.7659795315014
"1488",12.4492821316172
"1489",12.1540564522346
"1490",12.368591681673
"1491",12.1588418794982
"1492",11.4164880445373
"1493",12.1517176940928
"1494",12.6325293270913
"1495",12.6508671735385
"1496",12.3361994693568
"1497",12.0956559838982
"1498",11.9479113361002
"1499",11.9648808902491
"1500",11.9783908465503
"1501",12.1047474693651
"1502",11.8942204985535
"1503",12.5440290082618
"1504",12.4882877910891
"1505",12.3272424877929
"1506",12.170636379117
"1507",12.4265853999918
"1508",12.1924007573345
"1509",11.9618018427782
"1510",11.9398463723824
"1511",11.9630601469812
"1512",12.1622374730844
"1513",11.9628192727048
"1514",11.9862271613699
"1515",12.2668438871369
"1516",11.9092500342056
"1517",11.9869122049236
"1518",11.8285993108568
"1519",12.2561283725749
"1520",11.8302277589388
"1521",11.8416310592923
"1522",12.1577237975332
"1523",11.6929479645093
"1524",11.7367530962801
"1525",11.696851160658
"1526",11.6633321512515
"1527",11.6124806206675
"1528",11.8134903124141
"1529",11.9269080087779
"1530",12.0808138379198
"1531",11.7058889761531
"1532",11.4782979957887
"1533",11.9179160086781
"1534",11.7316580925663
"1535",11.9035107176884
"1536",11.6037252432823
"1537",11.1798742068166
"1538",11.9210413648618
"1539",12.264131427033
"1540",11.4394368377613
"1541",11.7657463393906
"1542",11.914345077648
"1543",12.0038915736409
"1544",11.3164312404971
"1545",11.6424044683074
"1546",11.8279442369456
"1547",11.7485026007813
"1548",11.7545687774135
"1549",11.7325673883168
"1550",11.9240211344698
"1551",11.6284690794676
"1552",11.8709221731538
"1553",11.8929202474689
"1554",11.7132607589089
"1555",12.0638690146936
"1556",11.4804046528961
"1557",11.5620554092391
"1558",11.5294230731202
"1559",11.501218555463
"1560",11.8738681546175
"1561",11.6701392519675
"1562",11.7981256185534
"1563",11.7435112176434
"1564",12.0921040736554
"1565",11.9961804758425
"1566",12.3130678665662
"1567",11.204707933758
"1568",12.4138093069975
"1569",11.7292826818859
"1570",11.8021131538072
"1571",11.7541365409101
"1572",11.865868728785
"1573",12.2168323001974
"1574",11.7514466049822
"1575",12.2867133397475
"1576",12.441310273919
"1577",12.0399807911514
"1578",11.8893682725554
"1579",11.9132146955957
"1580",12.1385751656476
"1581",11.93019059135
"1582",11.7307706621525
"1583",12.659397314382
"1584",12.317927059344
"1585",11.8544128231197
"1586",11.0679582519779
"1587",11.6044918757506
"1588",11.8692328568924
"1589",11.5424545580955
"1590",11.7797107336621
"1591",11.5021346397255
"1592",11.7824164824904
"1593",11.7070736232032
"1594",11.7420405480746
"1595",11.7113470268663
"1596",12.2961637092125
"1597",12.207294599771
"1598",12.2886584437323
"1599",12.0615105998371
"1600",12.0913428215763
"1601",11.1250829536228
"1602",11.6625100508063
"1603",11.2595030663526
"1604",12.5206244617803
"1605",12.4961713893857
"1606",12.0448170523934
"1607",12.0805875552816
"1608",12.2380166363342
"1609",12.0921920098956
"1610",12.0005087541034
"1611",11.9694698593876
"1612",12.0849619110929
"1613",12.0941891916369
"1614",11.6845977078435
"1615",11.3796805559479
"1616",11.2785552683396
"1617",11.4259903220225
"1618",11.7246075668971
"1619",11.8144131552889
"1620",12.0554218199776
"1621",11.9052252420476
"1622",11.9026457434739
"1623",12.5109031851693
"1624",12.2973410371756
"1625",11.6360453664929
"1626",12.0748272716832
"1627",12.1625804201245
"1628",12.5406878006224
"1629",12.1065951513451
"1630",12.803676680263
"1631",12.3479522032798
"1632",12.4784768031032
"1633",12.0833292046021
"1634",12.1743766742001
"1635",12.113553580441
